progrnumber,actual_stop_id,stop_lat,stop_lon,stop_id,stop_name
1,7347,53.42781517,-6.241562654,8240DB007347,Dublin Airport
2,3669,53.42846554,-6.235079788999999,8240DB003669,"Dublin Airport, Maldron Hotel"
3,7349,53.42527839,-6.234715254,8240DB007349,"Dublin Airport, Great Southern Hotel"
4,1631,53.42167999,-6.231463816000001,8240DB001631,"Dublin Airport, A.L.S.A.A. Sports Club"
5,1632,53.42050015,-6.23312273,8240DB001632,"Dublin Airport, Toberbunny Lodge"
6,5053,53.4191329,-6.235481417999999,8240DB005053,"Dublin Airport, Main Airport Runway"
7,1633,53.41778223,-6.237748995,8240DB001633,"Dublin Airport, Dardistown Cemetery"
8,1634,53.41689185,-6.238929229,8240DB001634,"Dublin Airport, Collinstown Business Park"
9,1635,53.41170491,-6.238872777,8240DB001635,"Dublin Airport, Sports Ground"
10,1636,53.40825271,-6.237601473,8240DB001636,"Santry, Swords Road #3"
11,1637,53.40403965,-6.240197136,8240DB001637,"Santry, Swords Road #2"
12,1638,53.40174938,-6.24214153,8240DB001638,"Santry, Morton Stadium"
13,1639,53.39650939,-6.245199655,8240DB001639,"Santry, Swords Road (Santry Avenue)"
14,1640,53.3923505,-6.24598725,8240DB001640,"Santry, Swords Road"
15,231,53.38924008,-6.245949764,8240DB000231,"Santry, Swords Road #1"
16,1641,53.38652728,-6.242392966000001,8220DB001641,"Whitehall, Swords Road"
17,1642,53.38400179,-6.243624504,8220DB001642,"Whitehall, Whitehall Church"
18,213,53.38153105,-6.244913767999999,8220DB000213,"Whitehall, Iveragh Road"
19,214,53.37940848,-6.246654552000001,8220DB000214,"Whitehall, Highfield Hospital"
20,4432,53.37720747,-6.248563719,8220DB004432,"Whitehall, Swords Road (Griffith Downs)"
21,119,53.37519048,-6.250765745,8220DB000119,"Drumcondra, Upper Drumcondra Road (Griffith Avenue)"
22,44,53.37301741,-6.252132303,8220DB000044,"Drumcondra (Dublin), Homefarm Road"
24,45,53.36999011,-6.254089717,8220DB000045,"Drumcondra, Upper Drumcondra Road"
25,46,53.36715074,-6.2553779689999995,8220DB000046,"Drumcondra (Dublin), Botanic Avenue"
26,47,53.36391612,-6.257298257,8220DB000047,"Drumcondra, Near Train Station"
27,48,53.36232903,-6.258790465,8220DB000048,"Summerhill (Dublin City), Lower Drumcondra Road"
28,49,53.36003184,-6.260897458,8220DB000049,"Ballybough, Lower Dorset Street"
29,51,53.35798985,-6.263249251,8220DB000051,Upper Dorset St (Temple Street)
30,52,53.35679465,-6.2644997479999995,8220DB000052,"Phibsborough, Upper Dorset St (St.Joseph's Parade)"
31,262,53.35394696,-6.262752648999999,8220DB000262,"Dublin, Garden of Remembrance"
32,270,53.35062339,-6.260424292000001,8220DB000270,"Dublin, Upper O'Connell Street"
33,336,53.34625164,-6.257718467,8220DB000336,"Dublin City South, Ashfield House"
34,1279,53.34426049,-6.261704666,8220DB001279,College Green
35,1282,53.34234179999999,-6.264501083,8220DB001282,"Dublin City South, South Great George's Street"
36,4456,53.3399144,-6.265695957,8220DB004456,"Dublin City South, Aungier Street Church"
37,1284,53.33812835,-6.265873557000001,8220DB001284,"Dublin City South, Redmond's Hill"
38,1285,53.33437841,-6.2651247539999995,8220DB001285,"Dublin City South, Grantham Street"
40,1287,53.33247837,-6.266117791,8220DB001287,"Kelly's Corner, Harrington Street"
41,1288,53.33232275,-6.269637622,8220DB001288,"Dublin City South, South Circular Road (Victoria St)"
42,1289,53.33212936,-6.273038832999999,8220DB001289,"Leonard's Corner, South Circular Road (Longwood Ave)"
43,1290,53.33073105,-6.2751673189999995,8220DB001290,"Leonard's Corner, Upper Clanbrassil Street"
44,1291,53.32844661,-6.276310441000001,8220DB001291,"Harolds Cross, Le Vere Terrace"
45,1292,53.32562461,-6.278195704,8220DB001292,"Harolds Cross, Saint Clare's Convent"
46,1293,53.32286036,-6.27910263,8220DB001293,"Harolds Cross, Harold's Cross Race Track"
