progrnumber,actual_stop_id,stop_lat,stop_lon,stop_id,stop_name
1,557,53.38883265,-6.073212211,8240DB000557,"Howth, Outside Train Station"
2,558,53.38841925,-6.070434327,8240DB000558,"Howth, Old Courthouse"
3,559,53.38835062,-6.065084884,8240DB000559,"Howth, Howth Road"
4,560,53.38608966,-6.065337782,8240DB000560,"Howth, Howth Abbey Street"
5,562,53.38188159,-6.059154619,8240DB000562,"Howth, Bodeen House"
6,563,53.38025548,-6.057544957,8240DB000563,"Howth, Thormanby Road"
7,564,53.37833497,-6.056625256,8240DB000564,"Baily, Thormanby Road"
8,565,53.37525469,-6.054586082999999,8240DB000565,"Howth, Nursing Home"
9,566,53.37376975,-6.0561267260000005,8240DB000566,"Howth, Kitestown Road"
10,707,53.37248953,-6.058649902000001,8240DB000707,"Howth, Howth Summit"
11,708,53.36639153,-6.060069317000001,8240DB000708,"Howth, Thormanby Road,  Bailey Lighthouse"
12,731,53.36580965,-6.062981004,8240DB000731,"Howth, Brackenhill House,  Baily Lighthouse"
13,710,53.36648514,-6.065835644,8240DB000710,"Howth, Stella Maris Convent"
14,711,53.36646798,-6.068105579,8240DB000711,"Howth, Carrickbrack Road"
15,712,53.36603371,-6.073490003,8240DB000712,"Howth, Old Carrickbrack Road"
16,713,53.36624163,-6.076906876000001,8240DB000713,"Howth, Carrickbrack Road (Ceannchor Road)"
17,714,53.36717045,-6.079885611,8240DB000714,"Howth, Sheilmartin Cottage"
18,715,53.36889883,-6.082843594,8240DB000715,"Howth, Sheerwater"
19,716,53.37233332,-6.0885057620000005,8240DB000716,"Sutton, Dun An Oir House"
20,717,53.37519075,-6.090136354,8240DB000717,"Howth, Howth Golf Club"
21,718,53.37821747,-6.091113228999999,8240DB000718,"Sutton, Saint Fintan's Cemetery"
22,719,53.38051109,-6.094588333,8240DB000719,"Sutton, Carrickbrack Road (St.Fintan's School)"
23,591,53.38431562,-6.144375377,8220DB000591,"Bayside, Dublin Road (Kilbarrack Road)"
24,592,53.38271738,-6.148533882000001,8220DB000592,Dublin Road (James Larkin Road)
25,593,53.38195778,-6.151137449,8220DB000593,Howth Road (Blackbanks)
26,594,53.38116337,-6.155561362,8220DB000594,"Raheny, Howth Road (Greendale Road)"
27,595,53.38059995,-6.159238563,8220DB000595,"Raheny, Berehaven Place"
28,596,53.38025284,-6.161793972000001,8220DB000596,"Kilbarrack, Howth Road"
