progrnumber,actual_stop_id,stop_lat,stop_lon,stop_id,stop_name
1,4330,53.45478587,-6.218357817999999,8240DB004330,"Swords, Pavilions Shopping Centre"
2,3679,53.45908168,-6.220135722999999,8240DB003679,"Swords, Main Street Swords"
3,3711,53.46119032,-6.218692053,8240DB003711,"Swords, North Street"
4,3712,53.46364903,-6.217218506,8240DB003712,"Swords, Swords Castle"
5,3713,53.46868897,-6.213452328,8240DB003713,"Swords, Seatown West"
6,3714,53.47221937,-6.210923824,8240DB003714,"Jamestown, Ennis Lane"
7,3719,53.48191195,-6.177260838,8240DB003719,"Donabate, Newbridge House"
8,3718,53.48045716,-6.16208991,8240DB003718,"Donabate, Newbridge House"
9,3720,53.48537629,-6.151193061,8240DB003720,"Donabate, Outside Train Station"
10,3721,53.48716782,-6.148477886,8240DB003721,"Donabate, Corballis Cross"
11,3722,53.48979305,-6.142154292000001,8240DB003722,"Donabate, Donabate Community Centre"
12,5069,53.49150071,-6.139261257999999,8240DB005069,"Donabate, Carr Miles Estate"
13,3723,53.49256429,-6.13541656,8240DB003723,"Donabate, National School"
14,3724,53.49299324,-6.128359068,8240DB003724,"Donabate, Martin's Lane"
15,3725,53.49346837,-6.123123131,8240DB003725,"Portrane, Harneys Lane"
16,3726,53.49319825,-6.114528834,8240DB003726,"Portraine, Portrane Road"
17,7039,53.4935223,-6.1100078270000004,8240DB007039,"Portraine, Portrane R126"
18,7204,53.49286687,-6.106645753,8240DB007204,"Portrane, Seaview Estate"
19,3728,53.49602111,-6.113996592,8240DB003728,"Portrane, Healys lane"
20,3729,53.49743677,-6.114853247,8240DB003729,"Portrane, Dockrells"
21,3730,53.49929591,-6.116474156000001,8240DB003730,"Portrane, Beach Lane"
