progrnumber,actual_stop_id,stop_lat,stop_lon,stop_id,stop_name
1,292,53.34892739,-6.256302523,8220DB000292,"Dublin, Irish Life Mall"
2,1171,53.35031769,-6.254262949,8220DB001171,"Dublin, Lower Gardiner Street"
3,1172,53.35174335,-6.255256217,8220DB001172,"Summerhill (Dublin City), Lower Gardiner Street"
4,1173,53.35370557,-6.256678322999999,8220DB001173,"Summerhill (Dublin City), Gardiner Street Lower"
5,1174,53.35618658,-6.258545125,8220DB001174,"Summerhill (Dublin City), Mountjoy Square Park"
6,1175,53.35853238,-6.261003595,8220DB001175,"Dublin, Upper Gardiner Street"
7,15,53.36008858,-6.26109047,8220DB000015,"Ballybough, Lower Dorset Street"
8,17,53.36291707,-6.258435917000001,8220DB000017,"Drumcondra, Outside Train Station"
9,18,53.36585593,-6.255956821,8220DB000018,"Drumcondra (Dublin), Drumcondra Road"
10,19,53.36714373,-6.255513501,8220DB000019,"Drumcondra, Lower Drumcondra Road"
11,21,53.3701012,-6.254310599,8220DB000021,"Drumcondra (Dublin), Saint Patrick's College"
13,85,53.37366152,-6.25192557,8220DB000085,"Drumcondra (Dublin), Homefarm Road"
14,203,53.37639279,-6.250010027999999,8220DB000203,"Drumcondra, Whitehall Garda Station"
15,204,53.37958836,-6.246662193,8220DB000204,"Whitehall, Highfield Hospital"
16,205,53.38137533,-6.245326047000001,8220DB000205,"Whitehall (Dublin City), Swords Road"
17,1620,53.38326352,-6.244150984,8220DB001620,"Whitehall, Swords Road"
18,220,53.38794054,-6.244980841,8220DB000220,"Whitehall, Swords Road"
19,1622,53.39003784,-6.2464131279999995,8240DB001622,"Santry, Swords Road #1"
20,1623,53.39193207,-6.24626007,8240DB001623,"Santry, Omni Shopping Centre"
21,1624,53.39608198,-6.24547288,8240DB001624,"Santry, Swords Road (Santry Avenue)"
22,1625,53.40109228,-6.243296569,8240DB001625,"Santry, Morton Stadium"
23,1626,53.40416762,-6.240342257000001,8240DB001626,"Santry, Northwood Plaza"
24,1627,53.40824795,-6.237887465,8240DB001627,"Santry, Santry Business Park"
25,1628,53.41371224,-6.239075661,8240DB001628,"Dublin Airport, Collinstown Business"
26,1629,53.41662592,-6.239180935,8240DB001629,"Dublin Airport, Dardistown Cemetery"
27,1630,53.42163167,-6.231841987,8240DB001630,"Dublin Airport, A.L.S.A.A. Sports Club"
28,3670,53.42457725,-6.2298538279999995,8240DB003670,"Dublin Airport, The Radisson Hotel"
29,3671,53.42939946,-6.230165108,8240DB003671,"Dublin Airport, Dublin Airport Roundabout"
30,3672,53.4321755,-6.230079851,8240DB003672,"Dublin Airport, Swords Road"
78,3772,53.51814701,-6.126390702999999,8240DB003772,"Rush, Lusk Road"
79,3773,53.51790686,-6.123686727999999,8240DB003773,"Rush, junction Spout Road"
80,5176,53.51785471,-6.119225071000001,8240DB005176,"Rush, Whitestown Cemetery"
81,3774,53.51890397,-6.116222644,8240DB003774,"Rush, Whitestown Road (Old Road)"
82,7172,53.52098606,-6.109192489,8240DB007172,"Rush, Doctor's Lane"
83,3775,53.52151413,-6.1062128389999994,8240DB003775,"Rush, Chapel Green"
84,3777,53.52261829,-6.101593522000001,8240DB003777,"Rush, The Millbank"
85,3778,53.52272483,-6.096988521,8240DB003778,"Rush, Main St Upper Rush"
87,3781,53.52347048,-6.091329125,8240DB003781,"Rush, Skerries Road (Hands Lane)"
88,3782,53.52608535,-6.091286951,8240DB003782,"Rush, Skerries Road Rush"
89,3783,53.52972942,-6.09153035,8240DB003783,"Rush, Cooper's Lane"
90,3784,53.53384045,-6.09062128,8240DB003784,"Rush, Skerries Road (Five Lanes)"
91,3785,53.53910411,-6.092662746,8240DB003785,"Rush, Clifflands Estate"
92,3786,53.54224154,-6.096082836,8240DB003786,"Ballykea, Lambay View"
93,3787,53.54683596,-6.101264182,8240DB003787,"Ballykea, Loughshinny (Rush Road)"
94,3788,53.55030779,-6.101984094,8240DB003788,"Ballykea, Skerries Road"
95,3789,53.55413566,-6.101918395,8240DB003789,"Ballykea, Curkeen Lane Water Works"
96,3790,53.55863141,-6.102592641,8240DB003790,"Skerries, Pierstown Lane"
97,3791,53.56251028,-6.103475786000001,8240DB003791,"Skerries, Hacketstown Cottages"
98,3792,53.56600895,-6.102488823,8240DB003792,"Skerries, Hacketstown Park"
99,3793,53.56990794,-6.101242162,8240DB003793,"Skerries, Holmpatrick(Shenick Road)"
