progrnumber,actual_stop_id,stop_lat,stop_lon,stop_id,stop_name
1,288,53.34919728,-6.255089827000001,8220DB000288,"Dublin City, Marlborough Street"
2,1171,53.35031769,-6.254262949,8220DB001171,"Dublin, Lower Gardiner Street"
3,1172,53.35174335,-6.255256217,8220DB001172,"Summerhill (Dublin City), Lower Gardiner Street"
4,1173,53.35370557,-6.256678322999999,8220DB001173,"Summerhill (Dublin City), Gardiner Street Lower"
5,1174,53.35618658,-6.258545125,8220DB001174,"Summerhill (Dublin City), Mountjoy Square Park"
6,1175,53.35853238,-6.261003595,8220DB001175,"Dublin, Upper Gardiner Street"
7,15,53.36008858,-6.26109047,8220DB000015,"Ballybough, Lower Dorset Street"
8,17,53.36291707,-6.258435917000001,8220DB000017,"Drumcondra, Outside Train Station"
9,18,53.36585593,-6.255956821,8220DB000018,"Drumcondra (Dublin), Drumcondra Road"
10,19,53.36714373,-6.255513501,8220DB000019,"Drumcondra, Lower Drumcondra Road"
11,21,53.3701012,-6.254310599,8220DB000021,"Drumcondra (Dublin), Saint Patrick's College"
13,85,53.37366152,-6.25192557,8220DB000085,"Drumcondra (Dublin), Homefarm Road"
14,203,53.37639279,-6.250010027999999,8220DB000203,"Drumcondra, Whitehall Garda Station"
15,204,53.37958836,-6.246662193,8220DB000204,"Whitehall, Highfield Hospital"
16,205,53.38137533,-6.245326047000001,8220DB000205,"Whitehall (Dublin City), Swords Road"
17,1620,53.38326352,-6.244150984,8220DB001620,"Whitehall, Swords Road"
18,220,53.38794054,-6.244980841,8220DB000220,"Whitehall, Swords Road"
19,1622,53.39003784,-6.2464131279999995,8240DB001622,"Santry, Swords Road #1"
20,1623,53.39193207,-6.24626007,8240DB001623,"Santry, Omni Shopping Centre"
21,1624,53.39608198,-6.24547288,8240DB001624,"Santry, Swords Road (Santry Avenue)"
22,1625,53.40109228,-6.243296569,8240DB001625,"Santry, Morton Stadium"
23,1626,53.40416762,-6.240342257000001,8240DB001626,"Santry, Northwood Plaza"
24,1627,53.40824795,-6.237887465,8240DB001627,"Santry, Santry Business Park"
25,1628,53.41371224,-6.239075661,8240DB001628,"Dublin Airport, Collinstown Business"
26,1629,53.41662592,-6.239180935,8240DB001629,"Dublin Airport, Dardistown Cemetery"
27,1630,53.42163167,-6.231841987,8240DB001630,"Dublin Airport, A.L.S.A.A. Sports Club"
28,7348,53.42781584,-6.241607772999999,8240DB007348,Dublin Airport
29,3669,53.42846554,-6.235079788999999,8240DB003669,"Dublin Airport, Maldron Hotel"
30,3671,53.42939946,-6.230165108,8240DB003671,"Dublin Airport, Dublin Airport Roundabout"
31,3672,53.4321755,-6.230079851,8240DB003672,"Dublin Airport, Swords Road"
32,3674,53.44105016,-6.227889477000001,8240DB003674,Dublin Road
33,3675,53.44333974,-6.228336126,8240DB003675,Dublin Road (near junction Boroimhe)
34,3676,53.44678249,-6.228358451,8240DB003676,"Rathingle, Dublin Road (Boroimhe)"
35,5073,53.45063876,-6.223545364,8240DB005073,"Swords, Dublin Road Roundabout"
36,5074,53.45315039,-6.215971872000001,8240DB005074,"Swords, Swords Road (Pavillions)"
37,6054,53.45423681,-6.21589621,8240DB006054,Malahide Road (Pavilions)
38,4330,53.45478587,-6.218357817999999,8240DB004330,"Swords, Pavilions Shopping Centre"
39,3679,53.45908168,-6.220135722999999,8240DB003679,"Swords, Main Street Swords"
40,5075,53.4596634,-6.223590262999999,8240DB005075,"Knocksedan, Rathbeale Road"
41,5076,53.46125341,-6.228373392999999,8240DB005076,"Broadmeadow, Rathbeale Rd (Brackenstown Ave)"
42,3682,53.46202403,-6.231248052000001,8240DB003682,"Knocksedan, Glasmore Park"
43,3864,53.46399913,-6.234133062000001,8240DB003864,"Broadmeadow, Abbylea Avenue"
44,3865,53.46584409,-6.237340037,8240DB003865,"Knocksedan, Glen Ellan Walk"
45,4910,53.46663536,-6.23919006,8240DB004910,Cianlea Murrough Road Swords
46,4911,53.46560858,-6.239654302000001,8240DB004911,Ardcian Murrough Road
47,4912,53.46413955,-6.239383737000001,8240DB004912,Lios Cian Murrough Road
48,4913,53.46161913,-6.240346503,8240DB004913,Valley View Murrough Road Swords
49,4914,53.45985177,-6.241790066,8240DB004914,"Knocksedan, Saint Cronan's Avenue"
50,4915,53.45986299,-6.2449974,8240DB004915,Swords Manor Brackenstown Road Swords
