progrnumber,actual_stop_id,stop_lat,stop_lon,stop_id,stop_name
1,3085,53.30248014,-6.178370832000001,8250DB003085,"Blackrock (DunLaoghaire-Rathdown), Outside Train Station"
2,3034,53.29962882,-6.174711251000001,8250DB003034,"Blackrock (Dun), Temple Road"
3,3114,53.29580501,-6.169773491,8250DB003114,"Monkstown (DunLaoghaire-Rathdown), Stradbrook Road"
4,4353,53.29240781,-6.170383781,8250DB004353,"Blackrock (DunLaoghaire-Rathdown), Rockville Drive"
5,4355,53.29118893,-6.17178595,8250DB004355,"Blackrock (DunLaoghaire-Rathdown), Church Of Guardian Angels"
6,4354,53.28747599,-6.1758443739999995,8250DB004354,"Deansgrange, Newtown Park Avenue (Marian Park)"
7,3196,53.28738031,-6.177228402999999,8250DB003196,"Galloping Green, Rushmore House"
8,3345,53.28940206,-6.185437424,8250DB003345,"Galloping Green, Coppinger Wood"
9,4727,53.29081171,-6.19778321,8250DB004727,"Stillorgan, Laurence Park"
10,4728,53.29333789,-6.201982289,8250DB004728,"Stillorgan, Oatlands College"
11,461,53.294799499999996,-6.203541111,8250DB000461,Stillorgan Road (Trees Road)
12,2068,53.29809576,-6.204573002999999,8250DB002068,Stillorgan Road (Sycamore Crescent)
13,2069,53.29977469,-6.205642853,8250DB002069,"Mount Merrion, Booterstown Avenue"
14,2070,53.30306607,-6.208145702,8250DB002070,Radisson Hotel Stillorgan Road
15,2084,53.30552676,-6.21159902,8250DB002084,"Belfield, Seafiled Road"
16,768,53.30941819,-6.21877483,8250DB000768,Dublin (UCD Stillorgan Rd Flyover)
17,769,53.31190109,-6.221327857,8220DB000769,"Donnybrook, Belfield Court"
18,770,53.31463619,-6.225731811,8220DB000770,N11 Opp. R.T.E.
19,771,53.31588007,-6.227781522000001,8220DB000771,"Donnybrook, Teresian School"
20,772,53.31848526,-6.231321063999999,8220DB000772,"Donnybrook, Donnybrook Bus Garage"
21,773,53.31991635,-6.233273318999999,8220DB000773,"Donnybrook, Donnybrook Road"
22,774,53.32161212,-6.235499996000001,8220DB000774,"Donnybrook, Donnybrook Garda Station"
23,775,53.32348971,-6.239085447000001,8220DB000775,"Donnybrook, Morehampton Road"
24,776,53.32547924,-6.241735821,8220DB000776,"Donnybrook, Morehampton Road"
25,777,53.32697216,-6.243626143999999,8220DB000777,"Donnybrook, Morehampton Road"
26,906,53.32881077,-6.247634377000001,8220DB000906,Leeson Street Upper
27,907,53.32971936,-6.250750109,8220DB000907,"Ranelagh, Saint John's Ambulance Head Quarters"
28,908,53.33115429,-6.252373034,8220DB000908,"Dublin City South, Upper Leeson Street (Mespil Road)"
29,909,53.33314766,-6.254078364,8220DB000909,"Dublin City South, Lower Leeson Street"
30,786,53.33514671,-6.256174036,8220DB000786,"Dublin City South, Lower Leeson Street"
31,792,53.34044899,-6.258585807999999,8220DB000792,"Dublin City South, Dawson Street"
33,320,53.3455466,-6.259294247000001,8220DB000320,"Dublin City South, Westmoreland Street"
34,7491,53.34853019,-6.259878655,8220VIR07491,Busaras Virtual Stops
35,278,53.35135317,-6.261160681000001,8220DB000278,"Dublin, Cathal Brugha Street"
36,2,53.35224436,-6.263723219,8220DB000002,"Rotunda, Parnell Square West"
37,4726,53.35426284,-6.264076827,8220DB004726,"Rotunda, Hugh Lane Galllery"
38,7555,53.3571703,-6.258204537,8220DB007555,Mountjoy Square Nth
