progrnumber,actual_stop_id,stop_lat,stop_lon,stop_id,stop_name
1,395,53.34194005,-6.235276454,8220DB000395,"Ringsend, Ringsend Road"
2,396,53.34246159,-6.239550256,8220DB000396,"Grand Canal Dock, Pearse Street"
3,397,53.34278556,-6.242015007000001,8220DB000397,"Grand Canal Dock, Saint Andrew's Resource Centre"
4,398,53.34329494,-6.245478447000001,8220DB000398,"Pearse Station, Pearse Street"
5,399,53.34386462,-6.2481585,8220DB000399,"Pearse Station, Pearse Street"
6,400,53.34475116,-6.252838258,8220DB000400,"Trinity College, Shaw Street"
7,4522,53.34426249,-6.26060818,8220DB004522,College Green
8,1934,53.34429056,-6.2656234689999994,8220DB001934,"Temple Bar, Dame Street"
9,2310,53.342445700000006,-6.269798428,8220DB002310,"Dublin City South, Werburgh Street"
10,2311,53.33828528,-6.270492467,8220DB002311,"Dublin City South, Kevin Street Garda Station"
11,2312,53.33887885,-6.275484235,8220DB002312,"The Coombe, Newmarket Street"
12,2313,53.33874233,-6.278478182000001,8220DB002313,"The Coombe, Ardee Court"
13,2314,53.33835368,-6.2808214929999995,8220DB002314,"The Coombe, Cork Street"
14,2315,53.33753643,-6.285239284,8220DB002315,"The Coombe, Marion Villas"
15,2094,53.33475197,-6.289750637999999,8220DB002094,"The Coombe, Coombe Maternity Hospital"
16,1406,53.33315293,-6.291691527,8220DB001406,"Dolphins Barn, Dolphin's Barn"
17,1407,53.3315385,-6.294443677,8220DB001407,"Dolphins Barn, Crumlin Road,  Sundrive Road"
18,1409,53.33036674,-6.2973581560000005,8220DB001409,"Dolphins Barn, Crumlin Road,  Sundrive Road"
19,2095,53.32903747,-6.3024707520000005,8220DB002095,"Crumlin, Crumlin College"
20,2096,53.32808359,-6.306817491,8220DB002096,"Crumlin, Crumlin Road"
21,2097,53.32743275,-6.309725806,8220DB002097,"Crumlin, Iveagh Gardens"
22,2099,53.32556158,-6.316600469,8220DB002099,"Drimnagh, Crumlin Road (Cooley Road)"
23,2101,53.32493745,-6.318231362000001,8220DB002101,"Walkinstown, Crumlin Childrens Hospital"
24,2102,53.32419485,-6.326141902000001,8220DB002102,"Drimnagh, Drimnagh Rd,  Balfe Rd"
25,2726,53.32384176,-6.330449135,8220DB002726,"Drimnagh, Slieve Bloom Park"
26,2727,53.32375897,-6.332884292999999,8220DB002727,"Bluebell (Dublin City), Drimnagh Castle School"
27,2105,53.32365258,-6.337497077999999,8220DB002105,"Drimnagh, Long Mile Road"
28,2728,53.32137023,-6.339477197999999,8220DB002728,"Walkinstown, Walkinstown Avenue Park"
29,2729,53.31911061,-6.335992494,8220DB002729,"Walkinstown, Walkinstown Avenue"
30,2730,53.31793543,-6.334222026,8220DB002730,"Walkinstown, Walkinstown Avenue (Walkinstown Roundabout)"
31,6083,53.317105299999994,-6.337211237000001,8230DB006083,"Greenhills, Ballymount Square"
32,2733,53.31647141,-6.3426842610000005,8230DB002733,"Greenhills, Educational Company of Ireland"
33,2734,53.31638501,-6.345524361,8230DB002734,"Greenhills, Ballymount Drive"
34,5169,53.314718000000006,-6.3536635079999995,8230DB005169,"Greenhills, Lower Ballymount Road"
35,2735,53.31378268,-6.356881273,8230DB002735,"Greenhills, Ballymount Industrial Estate"
36,2736,53.31237261,-6.3576107870000005,8230DB002736,"Ballymount (Dublin), Ballymount Road Upper"
37,2725,53.31082837,-6.354473517000001,8230DB002725,"Greenhills, Westgate Business Park"
38,2737,53.30497259,-6.365907624,8230DB002737,"Tallaght, Sylvan Drive"
39,2738,53.3063743,-6.367189601000001,8230DB002738,"Tallaght, Kingswood Community Centre"
40,2739,53.30724016,-6.3700377139999995,8230DB002739,"Tallaght, Saint Killian's School"
41,7177,53.30694505,-6.37278003,8230DB007177,"Tallaght, Tynan Hall Park"
42,2740,53.30407226,-6.376985607999999,8230DB002740,"Tallaght, Ballymount Road"
43,2741,53.30229496,-6.378478417999999,8230DB002741,"Tallaght, Cookstown Road"
44,2742,53.30005304,-6.382824345,8230DB002742,"Tallaght, Belgard Heights"
45,2743,53.29844519,-6.386215739,8230DB002743,"Tallaght, Ard Mhuire School"
46,2745,53.29361887,-6.388227832,8230DB002745,"Tallaght, Belgard Green"
47,2746,53.29134349,-6.387458474,8230DB002746,"Tallaght, Saint Mark's School"
48,2747,53.28926196,-6.387731867,8230DB002747,"Tallaght, Saint Mark's GAA Club"
49,2748,53.28609350000001,-6.389381021,8230DB002748,"Tallaght, Cookstown Road"
50,7062,53.28480977,-6.39349379,8230DB007062,"Tallaght, Cheeverstown Rd (Cookstown Rd)"
51,6075,53.28322944,-6.390943502000001,8230DB006075,"Citywest, Cookstown Rd (Fortunestown Way)"
52,2631,53.28219617,-6.3889727,8230DB002631,"Tallaght, Cheeverstown Rd (Blessington Rd)"
53,2359,53.28359003,-6.384375966,8230DB002359,"Tallaght, Blessington Road"
54,2360,53.28469482,-6.37968488,8230DB002360,"Tallaght, Alderwood Estate"
