progrnumber,actual_stop_id,stop_lat,stop_lon,stop_id,stop_name
6,4277,53.13261519,-6.075416272000001,8350DB004277,"Greystones, Mill Road"
7,7462,53.12880087,-6.062480492000001,8350DB007462,Charlesland Road (Seaborne View Apts)
8,7461,53.12893197,-6.062803372,8350DB007461,Charlesland Road Charlesland Shopping Ctr
9,4281,53.1384676,-6.063824209,8350DB004281,"Greystones, Greystones"
10,4282,53.13951018,-6.0610567479999995,8350DB004282,"Greystones, Woodlands Hotel"
11,4283,53.14392817,-6.061336105,8350DB004283,"Greystones, Church Road"
12,4284,53.14540883,-6.06449865,8350DB004284,"Greystones, Church Road (La Touche Place)"
13,4295,53.14965459,-6.079677983,8350DB004295,"Greystones, Redford Park"
14,4296,53.15238344,-6.081679457000001,8350DB004296,"Greystones, Rathdown Road (Blacklion Manor)"
15,4301,53.17231549,-6.093700287000001,8350DB004301,"County Wicklow, House On Hill"
16,4302,53.17450231,-6.095548152,8350DB004302,"County Wicklow, Lord Meaths Gate"
17,4591,53.18532491,-6.10458567,8350DB004591,"Bray, Earlscroft"
18,4590,53.18436231,-6.109057367,8350DB004590,"Bray, Hollybrook Park"
19,7366,53.18391489,-6.118264631000001,8350DB007366,"Bray, Bray Business Park"
20,7367,53.18286569,-6.123547653999999,8350DB007367,"Bray, Deepdales Estate"
21,7368,53.18141068,-6.1281897270000005,8350DB007368,"Bray, Giltspur Retail Park Roundabout"
23,3144,53.24569052,-6.135275018,8250DB003144,"Loughlinstown, Bray Road Loughlinstown"
24,3145,53.24792099,-6.13823511,8250DB003145,"Carrickmines, Cherrywood Flyover"
1,4307,53.10584688,-6.053310959,8350DB004307,"Kilcoole, Beechdale Estate"
2,4308,53.10616537,-6.061257779,8350DB004308,"Kilcoole, Beechdale"
3,4253,53.10914482,-6.064828265,8350DB004253,"Kilcoole, Kilcoole (New Road)"
4,4268,53.11139448,-6.065533905,8350DB004268,"Kilcoole, Church of Saint Anthony"
5,4273,53.12190623,-6.072981112999999,8350DB004273,"Kilcoole, Eden Gate Estate"
22,3143,53.24269051,-6.130820383,8250DB003143,"Loughlinstown, Loughlinstown Hospital"
25,5128,53.2655267,-6.157739276,8250DB005128,"Cabinteely, Cornelscourt Shopping Centre"
26,2060,53.27395494,-6.1750856789999995,8250DB002060,"Cornelscourt, Springfield Park"
27,2062,53.27902411,-6.186851925,8250DB002062,"Galloping Green, Rocwood Estate"
28,2064,53.28272564,-6.193849161,8250DB002064,"Galloping Green, Stillorgan Road"
29,4727,53.29081171,-6.19778321,8250DB004727,"Stillorgan, Laurence Park"
30,768,53.30941819,-6.21877483,8250DB000768,Dublin (UCD Stillorgan Rd Flyover)
31,772,53.31848526,-6.231321063999999,8220DB000772,"Donnybrook, Donnybrook Bus Garage"
32,775,53.32348971,-6.239085447000001,8220DB000775,"Donnybrook, Morehampton Road"
33,906,53.32881077,-6.247634377000001,8220DB000906,Leeson Street Upper
34,909,53.33314766,-6.254078364,8220DB000909,"Dublin City South, Lower Leeson Street"
35,786,53.33514671,-6.256174036,8220DB000786,"Dublin City South, Lower Leeson Street"
36,791,53.33911515,-6.2577240970000005,8220DB000791,"Stephen's Green, Stephens Court"
37,792,53.34044899,-6.258585807999999,8220DB000792,"Dublin City South, Dawson Street"
38,792,53.34044899,-6.258585807999999,8220DB000792,"Dublin City South, Dawson Street"
40,7587,53.34464202,-6.252136809,8220DB007587,Shaw Street
41,7587,53.34464202,-6.252136809,8220DB007587,Shaw Street
39,7586,53.34195536,-6.2534181460000005,8220DB007586,Clare Street
